lat,long,pcds,ctry,ru11ind,pcode,urban
51.532853,-3.675104,CF33 6FG,W92000004,C1,CF336FG,1
51.437475,-3.546568,CF7 7QD,W92000004,E1,CF77QD,0
51.689425,-3.780779,SA10 8NB,W92000004,C1,SA108NB,1
53.161621,-3.081228,CH7 2BT,W92000004,C1,CH72BT,1
51.650693,-3.946902,SA5 9DH,W92000004,C1,SA59DH,1
51.747335,-3.379578,CF47 8AA,W92000004,C1,CF478AA,1
51.386052,-3.342829,CF62 3XX,W92000004,D1,CF623XX,0
51.573847,-4.022686,SA3 4RS,W92000004,C1,SA34RS,1
51.515509,-3.105294,CF3 8TD,W92000004,C1,CF38TD,1
52.080521,-4.451298,SA38 9ET,W92000004,F2,SA389ET,0
53.173426,-3.112165,CH7 6XW,W92000004,C1,CH76XW,1
51.783337,-3.208958,NP3 6EY,W92000004,C1,NP36EY,1
51.738508,-3.145037,NP13 1SF,W92000004,C1,NP131SF,1
51.594715,-2.996054,NP9 5HW,W92000004,C1,NP95HW,1
51.776161,-3.207317,NP3 6XQ,W92000004,C1,NP36XQ,1
53.250006,-4.304373,LL77 7XE,W92000004,D1,LL777XE,0
53.126443,-3.280562,LL15 1YR,W92000004,E1,LL151YR,0
51.753139,-2.988338,NP7 9DL,W92000004,F1,NP79DL,0
51.520766,-3.119835,CF3 9YR,W92000004,C1,CF39YR,1
52.821251,-3.206644,SY10 9JX,W92000004,F2,SY109JX,0
53.267891,-3.437056,LL17 0AH,W92000004,E1,LL170AH,0
53.34843,-4.466545,LL65 4AS,W92000004,F2,LL654AS,0
53.09556,-3.217742,CH7 4QQ,W92000004,E1,CH74QQ,0
51.595914,-3.159219,NP1 8XL,W92000004,E1,NP18XL,0
51.660676,-3.038776,NP44 5LH,W92000004,C1,NP445LH,1
51.770421,-3.240497,NP2 3JW,W92000004,C1,NP23JW,1
52.084341,-4.658094,SA43 1EJ,W92000004,D2,SA431EJ,0
51.94836,-3.391706,LD3 7JZ,W92000004,D2,LD37JZ,0
51.664637,-3.842939,SA10 6PL,W92000004,C1,SA106PL,1
51.82769,-3.012098,NP7 5TF,W92000004,C1,NP75TF,1
52.178197,-3.955967,SY25 6RZ,W92000004,E2,SY256RZ,0
53.074454,-3.022798,LL11 4HQ,W92000004,C1,LL114HQ,1
51.434698,-3.216102,CF64 4AD,W92000004,C1,CF644AD,1
51.762649,-3.350108,CF48 3NA,W92000004,C1,CF483NA,1
52.393387,-4.068207,SY23 4PX,W92000004,C2,SY234PX,1
51.490623,-3.156171,CF24 1DY,W92000004,C1,CF241DY,1
51.617648,-3.002926,NP20 6JW,W92000004,C1,NP206JW,1
53.129967,-3.089326,CH7 4RH,W92000004,D1,CH74RH,0
51.663457,-3.0415,NP44 5HW,W92000004,C1,NP445HW,1
51.605148,-3.230803,CF8 3LQ,W92000004,D1,CF83LQ,0
53.044402,-2.995297,LL13 7LH,W92000004,C1,LL137LH,1
